step,mse,r2,n_test
0,3.071452371011372,-1.8396046903669183,10
1,3.069380233827814,-1.8401994462541138,10
2,3.0672850622042196,-1.8409307031869366,10
3,3.065148609675985,-1.8418637415936963,10
4,3.0628820797519776,-1.8430121881898645,10
5,2.886818963091037,-1.2730464647079693,10
6,3.193847307147975,-1.7828927486349788,10
7,3.551140296468831,-2.173958928480612,10
8,3.405758469936833,-1.8611885779019848,10
9,3.4378379047567593,-1.9525080367935448,10
10,3.247236616230479,-1.7015524079299988,10
11,2.5614295365689586,-1.0311098056704844,10
12,2.8010290001802147,-1.125710828831326,10
13,2.4863921542984495,-0.8280270977965074,10
14,2.6995579625133614,-0.9267898181013055,10
15,2.1488320371802625,-0.5976737799166659,10
16,2.1942110438144926,-0.7159614200222906,10
17,1.7510710142587342,-0.44171500318267054,10
18,2.422472835943111,-0.8268945897996057,10
