step,mse,r2,n_test,n_train
4,7.278771091242809e-17,0.0,3,2
5,5.618870679371357e-17,0.0,3,2
7,6.340669728723687e-16,0.0,2,3
8,1.326070372271602e-15,0.0,3,2
14,7.444485322510439e-16,0.0,2,3
15,1.3495543568324578e-14,0.0,2,3
16,3.977508017015809e-16,0.0,2,3
17,7.110080489709757e-16,0.0,2,3
26,1.7277710628200703e-15,0.0,2,3
31,1.91907192954926e-15,0.0,2,3
52,1.5874738582572576e-15,0.0,2,3
53,5.6559778901107044e-15,0.0,2,3
55,2.023731794113097e-15,0.0,2,3
56,2.096681484397753e-16,0.0,2,3
60,6.766375267960571e-16,0.0,3,2
65,4.964363359926761e-15,0.0,2,3
67,4.1970588109843667e-16,0.0,2,3
68,5.359528366123006e-17,0.0,2,3
73,2.4495681750780456e-15,0.0,2,3
79,3.312490220576627e-16,0.0,2,3
83,5.806548990053302e-15,-3.001689105059904e+16,3,2
86,9.451789877120153e-16,0.0,2,3
91,3.834439673023922e-15,0.0,2,3
95,1.569423780078576e-15,0.0,2,3
97,5.470579342569251e-15,0.0,2,3
103,5.836635004759069e-15,0.0,2,3
105,2.6502298534974767e-16,0.0,2,3
109,2.5286510234567465e-16,0.0,2,3
113,5.006759485530895e-15,0.0,2,3
115,2.7509699446421015e-15,0.0,2,3
116,6.830028353771211e-16,0.0,2,3
118,1.7797847895159477e-15,0.0,2,3
121,3.619120111359957e-15,0.0,3,2
140,1.3624998236581028e-15,0.0,2,3
144,1.6350746079606203e-15,0.0,3,2
150,4.68152336390137e-15,0.0,2,3
151,1.2680281710311104e-15,0.0,2,3
155,1.9211411267894302e-16,0.0,2,3
156,6.041190109260888e-16,0.0,2,3
168,4.8387942822637586e-17,0.0,2,3
178,4.41964565643693e-16,0.0,2,3
179,2.1524114187179665e-15,-3.3894215203274496e+16,3,2
183,2.1786761719643566e-16,-1.6611898611588722e+16,3,2
187,3.1629263856964507e-15,0.0,2,3
188,7.408506541969331e-16,0.0,2,3
190,5.856580410528452e-16,0.0,2,3
198,6.121653636282462e-16,0.0,2,3
