step,mse,r2,n_test,r2_clipped
3,0.010016993662154347,0.9895606634968659,2,0.9895606634968659
8,0.038191047599601916,0.9568660436224992,2,0.9568660436224992
13,0.04677091187248237,0.925914301844776,2,0.925914301844776
21,0.011180084984507746,0.9290841351864172,2,0.9290841351864172
33,0.01975386466787649,0.9604399334027535,2,0.9604399334027535
34,0.010181994049497661,0.9822419770351607,2,0.9822419770351607
45,0.007101671218529171,0.9924928620651532,3,0.9924928620651532
46,0.006154866670667523,0.883201817056673,2,0.883201817056673
48,0.01468028855591965,0.9818208104952761,2,0.9818208104952761
52,0.00655159496115049,0.995615337884165,2,0.995615337884165
64,0.0145261135803337,0.9903956152401392,2,0.9903956152401392
66,0.014879451320479582,0.9896846809886899,2,0.9896846809886899
75,0.03703428210276968,0.9782032952530585,3,0.9782032952530585
85,0.0033619662055839276,0.992165732748153,2,0.992165732748153
118,0.055776059864163736,0.9000476885321315,2,0.9000476885321315
122,0.06168298304440786,0.9375424662888503,2,0.9375424662888503
132,0.05677197179359577,0.4603990633632437,2,0.4603990633632437
170,0.013370360186683698,0.9922882184251535,2,0.9922882184251535
