world_id,r2_train,r2_test,mse_train,mse_test,n_samples,feature_dim
0,0.9960624979611068,0.995669845884884,0.0006813800028301222,0.0008110211935268698,198,64
1,0.9793594772369549,0.9696736497446101,0.0010763466426487551,0.0012639147922098844,198,64
2,0.9961082194189054,0.994214243896969,0.0002934596763685751,0.00037834902201123376,198,64
3,0.9950659878495718,0.9946659888436296,0.0004013015610907339,0.00045000512636624707,198,64
4,0.998487991075979,0.998178648729146,0.0005554641788196173,0.0007953830051394082,198,64
5,0.9967423559388476,0.9967155009523488,0.00036817449260429376,0.0004685089188976532,198,64
6,0.9986826314265315,0.9977335168104062,0.0004029359397974139,0.0005494429269344877,198,64
7,0.9928325772722091,0.9928605845704741,0.0005558746196992342,0.0007445917054868547,198,64
8,0.9981772071241231,0.9980210721019053,0.0005972314566449892,0.0006604049363853077,198,64
9,0.9971555726663408,0.9938051133652013,0.0009070310766354707,0.0015846134414560045,198,64
