target,variant,action,auroc,delta,test_bases
agent_next_cell_5_6,base,all,0.5783744557329463,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_5_6,plus,all,1.0,0.4216255442670537,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_5_6,action_only,all,1.0,0.4216255442670537,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_6_0,base,all,0.5603174603174603,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_6_0,plus,all,1.0,0.4396825396825397,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_6_0,action_only,all,1.0,0.4396825396825397,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_6_5,base,all,0.6334876543209876,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_6_5,plus,all,1.0,0.36651234567901236,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
agent_next_cell_6_5,action_only,all,1.0,0.36651234567901236,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
__summary__,base,all,0.5907265234571315,0.0,
__summary__,plus,all,1.0,0.4092734765428685,
__summary__,action_only,all,1.0,0.4092734765428685,
__summary__,n_targets,used,3.0,0.0,
