action,auroc,delta,metric,target,test_bases,variant
all,0.2025,0.0,acc_base,__summary__,,agent_next_multiclass
all,0.835,0.6325,acc_plus,__summary__,,agent_next_multiclass
all,0.8875,0.6849999999999999,acc_action_only,__summary__,,agent_next_multiclass
all,0.835,0.0,base_mean_acc_over_branches,__summary__,,agent_next_cf_base_acc
all,0.46774651889741403,0.0,,agent_next_cell_0_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,0.7112816140949134,0.24353509519749938,,agent_next_cell_0_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,0.8836317135549872,0.4158851946575731,,agent_next_cell_0_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
0,0.46764346764346765,0.0,,agent_next_cell_0_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
0,0.46031746031746035,-0.0073260073260073,,agent_next_cell_0_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
0,0.5,0.03235653235653235,,agent_next_cell_0_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.4998155467720685,0.0,,agent_next_cell_0_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,0.8605006587615284,0.36068511198945985,,agent_next_cell_0_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,0.9347826086956521,0.4349670619235836,,agent_next_cell_0_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
0,0.4638383838383838,0.0,,agent_next_cell_0_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
0,0.47757575757575754,0.013737373737373715,,agent_next_cell_0_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
0,0.5,0.03616161616161617,,agent_next_cell_0_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.45209293394777267,0.0,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,0.8140360983102919,0.3619431643625192,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,0.9032258064516129,0.4511328725038402,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
0,0.5069444444444444,0.0,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
0,0.5297619047619048,0.022817460317460347,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
0,0.5,-0.00694444444444442,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.5007333333333333,0.0,,agent_next_cell_5_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,1.0,0.49926666666666675,,agent_next_cell_5_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,1.0,0.49926666666666675,,agent_next_cell_5_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.4793666666666667,0.0,,agent_next_cell_6_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
