action,auroc,delta,target,test_bases,variant
all,0.5441871455576559,0.0,agent_next_offset_0,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,base
all,1.0,0.4558128544423441,agent_next_offset_0,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,plus
all,1.0,0.4558128544423441,agent_next_offset_0,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,action_only
all,0.6505198487712666,0.0,agent_next_offset_1,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,base
all,0.9999999999999999,0.3494801512287333,agent_next_offset_1,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,plus
all,1.0,0.34948015122873344,agent_next_offset_1,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,action_only
all,0.7706364209199748,0.0,agent_next_offset_2,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,base
all,1.0,0.22936357908002525,agent_next_offset_2,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,plus
all,1.0,0.22936357908002525,agent_next_offset_2,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,action_only
all,0.567895400126024,0.0,agent_next_offset_3,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,base
all,1.0,0.432104599873976,agent_next_offset_3,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,plus
all,1.0,0.432104599873976,agent_next_offset_3,7;22;26;28;33;34;40;41;43;52;54;57;59;68;71;75,action_only
all,0.6333097038437303,0.0,__summary__,,base
all,1.0,0.3666902961562697,__summary__,,plus
all,1.0,0.3666902961562697,__summary__,,action_only
used,4.0,0.0,__summary__,,n_targets
