target,auroc,auprc,ece
"cell(0,0)_ch0",0.7032873806998939,0.05364034057786875,0.0919301110089686
"cell(0,0)_ch1",0.5232800871301506,0.09323465664842308,0.10632836435480851
"cell(0,0)_ch2",0.8570473876063183,0.12772692782724637,0.05265347316752369
"cell(0,0)_ch3",0.6342616249361266,0.06270670191175344,0.04881105901287075
"cell(0,0)_ch4",0.41776202006226215,0.08498219164343075,0.2074238473200613
"cell(0,0)_ch5",0.4619634690225265,0.1299367334356833,0.194792935273154
"cell(0,0)_ch6",0.6387440621017263,0.05727721896116568,0.06358817152787309
"cell(0,0)_ch7",0.74,0.11919484114078914,0.08532630828010221
"cell(0,0)_ch8",0.7539034132171387,0.15183262378651677,0.08883514334060036
"cell(0,0)_ch9",0.6396709535395667,0.07207964949633655,0.07970589766085816
"cell(0,0)_ch10",0.620551924473493,0.052583494114440035,0.06102950064590656
"cell(0,0)_ch11",0.6158424908424909,0.0498635858134142,0.09663818349812092
"cell(0,1)_ch0",0.7316636851520573,0.09137552899973622,0.05755590816277047
"cell(0,1)_ch1",0.8166316022588861,0.192397983652564,0.02703754190031987
"cell(0,1)_ch2",0.857051961823966,0.27683617451793674,0.03239942404394478
"cell(0,1)_ch3",0.845672575599583,0.14033719975355394,0.028156929633316372
"cell(0,1)_ch4",0.9036520677838802,0.4061637759994526,0.07082446704440577
"cell(0,1)_ch5",0.6037010976639459,0.5109833847882301,0.08570094956397949
"cell(0,1)_ch6",0.7932285368802903,0.069826396457513,0.08744616573809562
"cell(0,1)_ch7",0.8547097671185262,0.21570833401140957,0.03648501466250363
"cell(0,1)_ch8",0.8968082101497034,0.27819160087059724,0.03605575922359614
"cell(0,1)_ch9",0.794046432132175,0.14758269670391977,0.10929506839467928
"cell(0,1)_ch10",0.6403367003367003,0.040500629924734424,0.09009045811458638
"cell(0,1)_ch11",0.7287127814088599,0.15354625137617223,0.04383456384236605
"cell(0,2)_ch0",0.8305442003065917,0.20656626011372436,0.059323085579438085
"cell(0,2)_ch1",0.9343584305408271,0.49217379124907185,0.020118848102601186
"cell(0,2)_ch2",0.9395959595959595,0.4755349292158069,0.02980866230786094
"cell(0,2)_ch3",0.9337282692946518,0.5399306164472781,0.03768542086927969
"cell(0,2)_ch4",0.9636989247311828,0.8210532842035596,0.0365243651206421
"cell(0,2)_ch5",0.8787778928537803,0.22514255572743896,0.046525719460562234
"cell(0,2)_ch6",0.8270371183834835,0.26353221429058793,0.09250239551807594
"cell(0,2)_ch7",0.8466065747613998,0.4410216525614177,0.034573410043864085
"cell(0,2)_ch8",0.9208666434943806,0.42091499637967444,0.027283273200509637
"cell(0,2)_ch9",0.9747657610347973,0.8775151507754693,0.06647022997853404
"cell(0,2)_ch10",0.7322400241837969,0.11591911523474392,0.031821891786967496
"cell(0,2)_ch11",0.734821493492329,0.19385518570306387,0.049198127148633496
"cell(0,3)_ch0",0.810763520678685,0.2912489279007273,0.034213579988832614
"cell(0,3)_ch1",0.9166956320240991,0.4715597540258769,0.01821842184030971
"cell(0,3)_ch2",0.8652273888605007,0.33309701455892965,0.032247885177987344
"cell(0,3)_ch3",0.9262936221419976,0.48533808104312737,0.009389364777237112
"cell(0,3)_ch4",0.8839069526115532,0.40989641801494253,0.030929734539095772
"cell(0,3)_ch5",0.9015068990559186,0.24284515686061203,0.042596657305951184
"cell(0,3)_ch6",0.7286568486324881,0.14856063906647768,0.09470744533452302
"cell(0,3)_ch7",0.9643311022621368,0.5998501306913223,0.020017073092984016
"cell(0,3)_ch8",0.965297605974083,0.6451190754655852,0.04912508297537649
"cell(0,3)_ch9",0.7833611177264428,0.5490040768936487,0.06741145096184702
"cell(0,3)_ch10",0.804131227217497,0.21588107108168006,0.032783656620472335
"cell(0,3)_ch11",0.6557264050901378,0.11342838221354094,0.06522937555933185
"cell(0,4)_ch0",0.7564238210399032,0.10022148946549947,0.034779718239575805
"cell(0,4)_ch1",0.9305134474327628,0.31370777886840506,0.031725275522283186
"cell(0,4)_ch2",0.8528559842428456,0.365156617428821,0.03410138561243089
"cell(0,4)_ch3",0.9489873035066505,0.45260390429959846,0.01663739401936917
"cell(0,4)_ch4",0.7826617179215271,0.18863305018531487,0.07935709829550168
"cell(0,4)_ch5",0.8644420468557336,0.385083392054983,0.03574514348329521
"cell(0,4)_ch6",0.8672350791717417,0.19927242985671995,0.03495728009675315
"cell(0,4)_ch7",0.8969015795868772,0.2027791485495694,0.03601206299514067
"cell(0,4)_ch8",0.9614968868903494,0.641128563758789,0.06111641852714719
"cell(0,4)_ch9",0.9381879272390221,0.3009659341041515,0.022486429627017905
"cell(0,4)_ch10",0.7751452432824981,0.12783475748226122,0.07615084923121664
"cell(0,4)_ch11",0.8512558535547041,0.47865930348667657,0.05830341154420283
"cell(0,5)_ch0",0.8355209605209606,0.16451960235787055,0.11827672769117324
"cell(0,5)_ch1",0.8086642599277978,0.04478249429153492,0.06851272079829925
"cell(0,5)_ch2",0.9454776188278726,0.8422748303874971,0.07226738515009457
"cell(0,5)_ch3",0.9758522727272727,0.4477712394989157,0.019581672350606268
"cell(0,5)_ch4",0.7433740831295844,0.12272332790269948,0.05304772192713571
"cell(0,5)_ch5",0.7022879201581772,0.09523513763886418,0.06342485955094222
"cell(0,5)_ch6",0.6450005793071487,0.10438193455244846,0.03149102699831666
"cell(0,5)_ch7",0.7738095238095238,0.27098826516635427,0.03679590852384163
"cell(0,5)_ch8",0.8834040296924709,0.5295979171667664,0.0234109879654478
"cell(0,5)_ch9",0.7224787363304982,0.13570916466190688,0.06465405820235383
"cell(0,5)_ch10",0.7127003699136868,0.22949788483114258,0.09972926218819102
"cell(0,5)_ch11",0.644889823939763,0.060222809856224725,0.06772039738718275
"cell(0,6)_ch0",0.6867623117623117,0.06644409105756839,0.04056148792332283
"cell(0,6)_ch1",0.7106643356643357,0.031900787496690945,0.056935355562166556
"cell(0,6)_ch2",0.5471954982755491,0.11099183281769344,0.07961594492119034
"cell(0,6)_ch3",0.7434370669962176,0.25722181707449865,0.09506674047314713
"cell(0,6)_ch4",0.6737373737373737,0.04021776426996443,0.10207276294237996
"cell(0,6)_ch5",0.709096459096459,0.156703401657294,0.05262236923557037
"cell(0,6)_ch6",0.6005555032482817,0.04132259745391874,0.13301576032956863
"cell(0,6)_ch7",0.6201484623541887,0.06983800454229733,0.13221442047281753
"cell(0,6)_ch8",0.8264188253905477,0.303173636385147,0.09744224645691388
