target,variant,action,auroc,delta
__summary__,base,all,0.47990498111084967,0.0
__summary__,plus,all,0.48355626370420024,0.003651282593350569
__summary__,base,0,0.5634090204946908,0.0
__summary__,plus,0,0.5620782485557541,-0.0013307719389367145
__summary__,base,1,0.4709271394679436,0.0
__summary__,plus,1,0.47617340319931306,0.005246263731369438
__summary__,base,2,0.48541748688220404,0.0
__summary__,plus,2,0.47603410662975265,-0.00938338025245139
__summary__,base,3,0.474433428473665,0.0
__summary__,plus,3,0.49927664747039263,0.024843218996727645
__summary__,n_targets,used,64.0,0.0
