target,variant,action,auroc,delta,test_bases
"cell(0,0)_ch4",base,all,0.4588377723970944,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",plus,all,0.4891041162227603,0.030266343825665898,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",action_only,all,0.6016949152542372,0.14285714285714285,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",base,0,0.2777777777777778,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",plus,0,0.4444444444444444,0.16666666666666663,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",action_only,0,0.5,0.2222222222222222,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",base,1,0.08333333333333337,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",plus,1,0.08333333333333337,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",action_only,1,0.5,0.41666666666666663,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",base,2,0.7,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",plus,2,0.7000000000000001,1.1102230246251565e-16,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",action_only,2,0.5,-0.19999999999999996,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",base,3,0.48148148148148145,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",plus,3,0.48148148148148145,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch4",action_only,3,0.5,0.018518518518518545,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",base,all,0.3754098360655739,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",plus,all,0.6622950819672131,0.2868852459016392,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",action_only,all,0.760655737704918,0.38524590163934413,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",base,2,0.5,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",plus,2,0.5,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",action_only,2,0.5,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,0)_ch7",base,3,0.09999999999999998,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
