target,variant,action,auroc,delta
__summary__,base,all,0.5027543838636188,0.0
__summary__,plus,all,0.5126741270140728,0.009919743150453963
__summary__,base,0,0.5203599379356639,0.0
__summary__,plus,0,0.5471519059320283,0.026791967996364408
__summary__,base,1,0.4925526052812768,0.0
__summary__,plus,1,0.4976845300836767,0.005131924802399879
__summary__,base,2,0.49056899632660167,0.0
__summary__,plus,2,0.5032680681102472,0.012699071783645488
__summary__,base,3,0.5047875970842578,0.0
__summary__,plus,3,0.5090075974970804,0.0042200004128225554
__summary__,n_targets,used,128.0,0.0
