target,variant,action,auroc,delta
__summary__,base,all,0.5053696262116303,0.0
__summary__,plus,all,0.49655092662283284,-0.00881869958879744
__summary__,base,0,0.501718444212175,0.0
__summary__,plus,0,0.4752022185922611,-0.026516225619913958
__summary__,base,1,0.5163833627533138,0.0
__summary__,plus,1,0.5075285406507967,-0.00885482210251709
__summary__,base,2,0.5092229237185338,0.0
__summary__,plus,2,0.5019631386301584,-0.007259785088375437
__summary__,base,3,0.503330297110392,0.0
__summary__,plus,3,0.5082403031538884,0.00491000604349634
__summary__,n_targets,used,256.0,0.0
