baseline_majority,feature,metric,n,score,target
0.28137021432496795,actor_mid,acc,5459,0.9288256227758007,action
0.6739329547536179,actor_mid,acc,5459,0.7259786476868327,on_letter
0.28137021432496795,actor_mid,acc,5459,0.933570581257414,delta_cls
,actor_mid,R2,5459,0.5943869352340698,delta
,actor_mid,MAE,5459,0.3588019609451294,delta
,actor_mid,R2,5459,0.08772705495357513,next_pos
,actor_mid,MAE,5459,1.8746156692504883,next_pos
0.28137021432496795,actor_in,acc,5459,0.3807829181494662,action
0.6739329547536179,actor_in,acc,5459,0.7686832740213523,on_letter
0.28137021432496795,actor_in,acc,5459,0.35468564650059314,delta_cls
,actor_in,R2,5459,-3.248478412628174,delta
,actor_in,MAE,5459,1.0002858638763428,delta
,actor_in,R2,5459,-1.7782254219055176,next_pos
,actor_in,MAE,5459,3.120002269744873,next_pos
0.28137021432496795,obs_emb,acc,5459,0.4068801897983393,action
0.6739329547536179,obs_emb,acc,5459,0.6986951364175563,on_letter
0.28137021432496795,obs_emb,acc,5459,0.37247924080664296,delta_cls
,obs_emb,R2,5459,-3.659306049346924,delta
,obs_emb,MAE,5459,1.0199809074401855,delta
,obs_emb,R2,5459,-1.967808485031128,next_pos
,obs_emb,MAE,5459,3.198291540145874,next_pos
0.28137021432496795,e_sigma,acc,5459,0.26334519572953735,action
0.6739329547536179,e_sigma,acc,5459,0.7805456702253856,on_letter
0.28137021432496795,e_sigma,acc,5459,0.29655990510083036,delta_cls
,e_sigma,R2,5459,0.012480173259973526,delta
,e_sigma,MAE,5459,0.5240107774734497,delta
,e_sigma,R2,5459,-0.03183503448963165,next_pos
,e_sigma,MAE,5459,2.17388916015625,next_pos
0.28137021432496795,obs_raw_flat,acc,5459,0.3202846975088968,action
0.6739329547536179,obs_raw_flat,acc,5459,0.9774614472123369,on_letter
0.28137021432496795,obs_raw_flat,acc,5459,0.30604982206405695,delta_cls
,obs_raw_flat,R2,5459,-0.45197097692895205,delta
,obs_raw_flat,MAE,5459,0.6913369745402429,delta
,obs_raw_flat,R2,5459,-0.42405387020986535,next_pos
,obs_raw_flat,MAE,5459,2.387902047325353,next_pos
