feature,target,shift,n,metric,score,baseline_majority,baseline_ar1,delta_ce
actor_prelogits,action_next,1,4709,acc,0.43867243867243866,0.28923338288383943,0.1713739647483542,-0.07012937119057261
actor_prelogits,delta_cls_next,1,4709,acc,0.43867243867243866,0.28923338288383943,0.12868974304523254,-0.07012937119172147
actor_prelogits,on_letter_next,1,4709,acc,0.4675324675324675,0.6220004247186239,nan,nan
actor_mid,action_next,1,4709,acc,0.43867243867243866,0.28923338288383943,0.1713739647483542,-0.07012937119057261
actor_mid,delta_cls_next,1,4709,acc,0.43867243867243866,0.28923338288383943,0.12868974304523254,-0.07012937119172147
actor_mid,on_letter_next,1,4709,acc,0.4675324675324675,0.6220004247186239,nan,nan
obs_conv,action_next,1,4709,acc,0.3088023088023088,0.28923338288383943,0.1713739647483542,0.4068509238051303
obs_conv,delta_cls_next,1,4709,acc,0.3088023088023088,0.28923338288383943,0.12868974304523254,0.40685092380523025
obs_conv,on_letter_next,1,4709,acc,0.5930735930735931,0.6220004247186239,nan,nan
e_sigma,action_next,1,4709,acc,0.2481962481962482,0.28923338288383943,0.1713739647483542,-0.0023691251135762315
e_sigma,delta_cls_next,1,4709,acc,0.2481962481962482,0.28923338288383943,0.12868974304523254,-0.0023691251134763114
e_sigma,on_letter_next,1,4709,acc,0.4444444444444444,0.6220004247186239,nan,nan
