env_id,exp,seed,src,dst,succ,att,p_hat,episodes_per_pair,horizon,pre_steps,stateful
PointLtl2-v0,big_test,0,green,blue,10,13,0.75,16,200,200,1
PointLtl2-v0,big_test,0,green,yellow,13,13,0.9642857142857143,16,200,200,1
PointLtl2-v0,big_test,0,green,magenta,11,13,0.8214285714285714,16,200,200,1
PointLtl2-v0,big_test,0,blue,green,8,13,0.6071428571428571,16,200,200,1
PointLtl2-v0,big_test,0,blue,yellow,11,12,0.8846153846153846,16,200,200,1
PointLtl2-v0,big_test,0,blue,magenta,10,12,0.8076923076923077,16,200,200,1
PointLtl2-v0,big_test,0,yellow,green,12,15,0.78125,16,200,200,1
PointLtl2-v0,big_test,0,yellow,blue,12,15,0.78125,16,200,200,1
PointLtl2-v0,big_test,0,yellow,magenta,14,15,0.90625,16,200,200,1
PointLtl2-v0,big_test,0,magenta,green,15,16,0.9117647058823529,16,200,200,1
PointLtl2-v0,big_test,0,magenta,blue,15,16,0.9117647058823529,16,200,200,1
PointLtl2-v0,big_test,0,magenta,yellow,12,16,0.7352941176470589,16,200,200,1
