target,shape,metric,in,h1,h2,h3,out
agent_sensors,9,R²,-4.877279361502992,-0.7581967881156338,-1.0411407264570396,-0.33853351655933595,-0.15737269653214347
wall_lidar,16,R²,-150.51013660430908,-46.70979641377926,-76.50284045934677,-29.23961102962494,-20.963171303272247
zone_lidar,16,R²,-21.620590716600418,-5.955386087298393,-5.547059968113899,-3.369373597204685,-1.3811769410967827
agent_pos,2,R²,-8.013704299926758,-7.149972677230835,-6.776937961578369,-8.14242672920227,-2.0222612023353577
delta_xy,2,R²,-734.8369369506836,-59.856804847717285,-37.470036029815674,-23.115081310272217,-3.9963817596435547
vz,1,R²,-0.473466157913208,0.5861791372299194,0.4925490617752075,0.7464731931686401,0.6685584783554077
wz,1,R²,-10.421910285949707,-1.5178825855255127,-1.5492663383483887,-0.8430954217910767,-0.6062774658203125
wz_sign,1,Acc,0.79,0.79,0.4866666666666667,0.6366666666666667,0.79
pose_k5,2,R²,-286.2743263244629,-68.08966827392578,-21.295795440673828,-34.03217315673828,nan
pose_k10,2,R²,-86.15490245819092,-22.77673101425171,-7.080821990966797,-11.792027711868286,nan
contacts,4,R²,-23.325162649154663,-4.6529752016067505,-8.823206067085266,-4.605983197689056,-2.350399136543274
min_wall_dist,1,R²,0.0,0.0,0.0,0.0,0.0
wall_sector_argmin,1,Acc,0.7733333333333333,0.7733333333333333,0.66,0.7733333333333333,0.7733333333333333
free_space_ahead,1,Acc,0.9133333333333333,0.9133333333333333,0.8166666666666667,0.9133333333333333,0.9133333333333333
nearest_zone_id,1,Acc,0.0,0.26666666666666666,0.21,0.12333333333333334,0.26
nearest_zone_dir_cls,1,Acc,0.17666666666666667,0.043333333333333335,0.03666666666666667,0.06666666666666667,0.03
in_zone_flags,4,Acc,0.6758333333333334,0.6666666666666666,0.6216666666666667,0.5908333333333333,0.6791666666666667
goal_colour_id,1,Acc,0.0,0.0,0.0,0.0,0.0
bearing_to_goal_cls,1,Acc,0.17666666666666667,0.043333333333333335,0.03666666666666667,0.06666666666666667,0.03
progress_sign_k3,1,Acc,0.5766666666666667,0.5833333333333334,0.5766666666666667,0.57,0.5766666666666667
next_wall_lidar,16,R²,-1150.1062169075012,-115.56833624839783,-45.099161844700575,-41.41939330846071,-20.59777306392789
front_clearance,1,R²,-58.59504699707031,-13.771068572998047,-15.77485466003418,-6.486568450927734,-0.6467678546905518
policy_mu,2,R²,-2.0183297991752625,0.09407871961593628,0.19787314534187317,0.6313150525093079,0.9844549936242402
policy_speed_mag,1,R²,-16.035051345825195,-1.8902308940887451,-1.5708844661712646,-0.6166296005249023,0.864208459854126
policy_log_std,2,R²,-5.744439125061035,-2.734410285949707,-2.6455222368240356,-0.1583002507686615,0.9774975199252367
policy_entropy,1,R²,-176.48617553710938,-0.2690986394882202,-2.1061577796936035,-0.6400480270385742,0.870327353477478
d_front_clearance_sign,1,Acc,0.5866666666666667,0.5966666666666667,0.5633333333333334,0.5933333333333334,0.5933333333333334
d_bearing_to_goal_sign,1,Acc,0.9666666666666667,0.9566666666666667,0.9033333333333333,0.9666666666666667,0.9666666666666667
avoidance_vs_goal,1,Acc,0.6366666666666667,0.9033333333333333,0.9933333333333333,1.0,1.0
policy_angle_cls8,1,Acc,0.38,0.41,0.6066666666666667,0.5833333333333334,0.67
policy_turn_sign,1,Acc,0.5766666666666667,0.58,0.6966666666666667,0.8566666666666667,0.8
policy_stop_go,1,Acc,0.99,0.9033333333333333,0.9833333333333333,0.99,0.99
delta_along_mu,1,R²,-293.2128601074219,-24.37325096130371,-17.31266212463379,-9.472908020019531,-1.594712495803833
delta_perp_mu,1,R²,-206.21678161621094,-16.711103439331055,-9.610173225402832,-6.950134754180908,-1.1311960220336914
policy_alignment,1,R²,-0.7152309417724609,0.5653395652770996,0.5057553052902222,0.7186989784240723,0.9351645708084106
