target,shape,metric,in_lin,h1_lin,h2_lin,h3_lin,out_lin,in_mlp,h1_mlp,h2_mlp,h3_mlp,out_mlp,Δ_in,Δ_h1,Δ_h2,Δ_h3,Δ_out
agent_pos,2,R²,0.1991187930107116,-0.2628270983695984,-0.1926241517066955,-0.1688392758369445,-0.0667765736579895,-0.0270874500274658,-0.0458853244781494,-0.0895703434944152,-0.192087173461914,-0.2017519474029541,-0.22620624303817738,0.21694177389144897,0.1030538082122803,-0.02324789762496951,-0.1349753737449646
agent_sensors,9,R²,0.5747804807292091,0.4176963399578299,0.3541575565727221,0.3284925134438607,0.1536833975050184,-280080620657.2,-1019581708515.1294,-500075040312.53485,-404187920611.2016,-3430794337393.4272,-280080620657.7748,-1019581708515.5471,-500075040312.88904,-404187920611.5301,-3430794337393.581
avoidance_vs_goal,1,Acc,0.9895577395577396,0.9828009828009828,0.9557739557739556,0.9797297297297296,0.7186732186732187,0.9980988593155894,0.9923954372623576,0.9556400506970848,0.985424588086185,1.0,0.008541119757849769,0.009594454461374746,-0.00013390507687083275,0.005694858356455446,0.28132678132678135
bearing_to_goal_cls,1,Acc,0.5528255528255528,0.3808353808353808,0.3132678132678133,0.2334152334152334,0.1228501228501228,0.4721166032953105,0.3884664131812421,0.3637515842839037,0.2959442332065906,0.1204055766793409,-0.08070894953024227,0.007631032345861266,0.05048377101609042,0.06252899979135718,-0.0024445461707818944
contacts,4,R²,0.4055590592324734,0.2728719860315323,0.1836079657077789,0.1354294866323471,-0.0230652540922164,0.3794870749115944,-0.0011409223079681,0.0162544846534729,-0.0272589325904846,-0.1384931802749633,-0.026071984320878983,-0.27401290833950037,-0.167353481054306,-0.1626884192228317,-0.11542792618274689
d_bearing_to_goal_sign,1,Acc,0.788083538083538,0.765970515970516,0.7248157248157249,0.7082309582309583,0.7334152334152334,0.9683143219264893,0.9683143219264893,0.9683143219264893,0.9683143219264893,0.9683143219264893,0.18023078384295121,0.20234380595597323,0.24349859711076438,0.260083363695531,0.23489908851125585
d_front_clearance_sign,1,Acc,0.6891891891891891,0.7192874692874693,0.6824324324324325,0.6566339066339066,0.6228501228501229,0.720532319391635,0.7268694550063372,0.720532319391635,0.688212927756654,0.6920152091254753,0.031343130202445835,0.007581985718867812,0.03809988695920252,0.03157902112274735,0.06916508627535245
delta_along_mu,1,R²,-0.0214258432388305,-0.0086079835891723,-0.0082898139953613,0.0004063248634338,-0.0003293752670288,-0.371888518333435,-1.0575230121612549,-0.5220344066619873,-0.3392282724380493,-0.0132466554641723,-0.3504626750946045,-1.0489150285720825,-0.513744592666626,-0.3396345973014831,-0.012917280197143501
delta_perp_mu,1,R²,-0.1515462398529052,-0.0076431035995483,0.0010826587677001,-0.0086143016815185,-0.0009379386901855,-1.0605709552764893,-0.8672826290130615,-0.5577355623245239,-0.5097683668136597,-0.0178786516189575,-0.9090247154235841,-0.8596395254135132,-0.558818221092224,-0.5011540651321411,-0.016940712928772
delta_xy,2,R²,-0.011835753917694,0.000902771949768,0.0018795728683471,-0.0026087760925292,-0.0008495450019836,-0.6255751252174377,-1.096449375152588,-0.5093430280685425,-0.4745258688926697,-0.0142948627471923,-0.6137393712997438,-1.097352147102356,-0.5112226009368895,-0.4719170928001405,-0.0134453177452087
