target,shape,metric,in,h1,h2,h3,out
agent_sensors,9,R²,-280080620657.2,-1019581708515.1294,-500075040312.53485,-404187920611.2016,-3430794337393.4272
wall_lidar,16,R²,0.28191438131034374,-0.26356955245137215,-0.6378218531608582,-0.5123090669512749,-0.34232086688280106
zone_lidar,16,R²,0.590491708368063,0.3338836617767811,0.2562355976551771,0.22386676631867886,-0.04735879600048065
agent_pos,2,R²,-0.02708745002746582,-0.045885324478149414,-0.08957034349441528,-0.19208717346191406,-0.2017519474029541
delta_xy,2,R²,-0.6255751252174377,-1.096449375152588,-0.5093430280685425,-0.4745258688926697,-0.014294862747192383
vz,1,R²,0.9783198237419128,0.9271107316017151,0.9279680252075195,0.9370753765106201,0.8216431140899658
wz,1,R²,0.38627779483795166,-0.6905947923660278,-0.293676495552063,-0.5480880737304688,-0.058060407638549805
wz_sign,1,Acc,0.7458808618504436,0.7927756653992395,0.6825095057034221,0.6685678073510773,0.6939163498098859
pose_k5,2,R²,-1.2553867101669312,-2.082765281200409,-1.359041154384613,-1.003657341003418,nan
pose_k10,2,R²,-1.4027268886566162,-0.9641544818878174,-1.0130015015602112,-1.177042841911316,nan
contacts,4,R²,0.3794870749115944,-0.0011409223079681396,0.0162544846534729,-0.02725893259048462,-0.13849318027496338
min_wall_dist,1,R²,0.0,0.0,0.0,0.0,0.0
wall_sector_argmin,1,Acc,0.8143219264892269,0.8149556400506971,0.7091254752851711,0.7065906210392903,0.7515842839036755
free_space_ahead,1,Acc,0.9968314321926489,0.9721166032953105,0.9258555133079848,0.9746514575411914,1.0
nearest_zone_id,1,Acc,0.1438529784537389,0.14131812420785805,0.12357414448669202,0.10139416983523447,0.21482889733840305
nearest_zone_dir_cls,1,Acc,0.4721166032953105,0.3884664131812421,0.3637515842839037,0.29594423320659063,0.12040557667934093
in_zone_flags,4,Acc,0.7135614702154626,0.6787072243346008,0.6791825095057034,0.6641318124207858,0.6698352344740178
goal_colour_id,1,Acc,1.0,0.9923954372623575,0.9771863117870723,0.9340937896070975,0.4011406844106464
bearing_to_goal_cls,1,Acc,0.4721166032953105,0.3884664131812421,0.3637515842839037,0.29594423320659063,0.12040557667934093
progress_sign_k3,1,Acc,0.7820025348542459,0.7034220532319392,0.6926489226869454,0.7192648922686945,0.679340937896071
next_wall_lidar,16,R²,0.11403058841824532,-0.3173741288483143,-0.6003585383296013,-0.5071418769657612,-0.4194392114877701
front_clearance,1,R²,-0.4778730869293213,-0.7061175107955933,-0.8694497346878052,-1.0883264541625977,-0.2751023769378662
policy_mu,2,R²,0.9581083469092846,0.9666289333254099,0.9791621966287494,0.9791459576226771,0.9994459943263792
policy_speed_mag,1,R²,0.8784136176109314,0.8546804189682007,0.9406192302703857,0.8693348169326782,0.9985401630401611
policy_log_std,2,R²,0.9229245726019144,0.8913642354309559,0.9531886205077171,0.9152024947106838,0.9984011378546711
policy_entropy,1,R²,0.95111483335495,0.8850401639938354,0.9380020499229431,0.9291790723800659,0.9983876943588257
d_front_clearance_sign,1,Acc,0.720532319391635,0.7268694550063372,0.720532319391635,0.688212927756654,0.6920152091254753
d_bearing_to_goal_sign,1,Acc,0.9683143219264893,0.9683143219264893,0.9683143219264893,0.9683143219264893,0.9683143219264893
avoidance_vs_goal,1,Acc,0.9980988593155894,0.9923954372623575,0.9556400506970849,0.985424588086185,1.0
policy_angle_cls8,1,Acc,0.885297845373891,0.9106463878326996,0.917617237008872,0.9455006337135615,0.9860583016476553
policy_turn_sign,1,Acc,0.9334600760456274,0.9664131812420785,0.9537389100126743,0.976552598225602,0.9993662864385298
policy_stop_go,1,Acc,0.9879594423320659,0.9898605830164765,0.9930291508238276,0.9930291508238276,0.9923954372623575
delta_along_mu,1,R²,-0.37188851833343506,-1.0575230121612549,-0.5220344066619873,-0.3392282724380493,-0.013246655464172363
delta_perp_mu,1,R²,-1.0605709552764893,-0.8672826290130615,-0.5577355623245239,-0.5097683668136597,-0.01787865161895752
policy_alignment,1,R²,0.9398910999298096,0.9620411396026611,0.9699527621269226,0.9772458076477051,0.9989988207817078
