step,mse,r2,n_test
0,3.0861166173985795,-0.8924058579515454,4
1,3.0728755590521852,-0.8806378055580785,4
2,3.0577069766876908,-0.867131872622455,4
3,3.0409302884959577,-0.8523622038667716,4
4,3.02193412376578,-0.8355256991542301,4
5,3.137586613028482,-0.7249246819556946,4
6,3.235429198387987,-1.0805666905687177,4
7,2.66328685051704,-0.5036602919596502,4
8,1.5855265806554826,0.0024277743525166207,4
9,3.884697964321146,-1.2354259141009805,4
10,2.0196116300520037,-0.012595328781353443,4
11,3.644476075307683,-1.2705291929142217,4
12,2.3809830070123232,-0.2672391851794485,4
13,2.096541153815929,-0.2679396773107434,4
14,1.5826322507126094,0.07685910925055028,4
15,0.9425453963307876,0.39543042196761047,4
16,2.3509977840777374,-0.4466184507318618,4
17,2.320424059045601,-0.49085800183443284,4
18,1.6453698032432174,-0.004111718764778283,4
19,1.7526437095289396,0.060783685489261774,4
20,2.482804269947415,-0.4834730083236384,4
21,3.704266565998831,-1.1529430466390196,4
22,2.9317331255845085,-0.6884221882801228,4
23,3.1588983342457477,-0.850088730667919,4
24,3.477922538994629,-0.9987825593091224,4
25,2.684918605398667,-0.4733233097958629,4
26,3.4166634646078915,-0.8936613403349759,4
27,2.543849760481001,-0.5492369393654724,4
28,3.009050331171457,-0.7664824832873994,4
29,3.030501858113148,-0.7154103320119237,4
30,2.2543804145792112,-0.25306751768739494,4
31,4.342205180413446,-1.52173610760518,4
32,3.9125479991077445,-1.3103542249988023,4
33,3.2291553610936017,-0.8195659541517222,4
34,4.2410828550168524,-1.4567851724895298,4
35,3.2056083146937255,-0.701574501295182,4
36,2.89056971135943,-0.6320116075153628,4
37,3.1626306909337645,-0.6879020349165206,4
38,3.898966584593791,-1.2552260594508726,4
39,2.9852672997211904,-0.6100017133749749,4
40,3.5112995267540095,-1.09565134321342,4
41,3.170559764863066,-0.8106066874173565,4
42,3.212881170511477,-0.858432025897168,4
43,2.805035039224963,-0.7812659111137644,4
44,3.212989396540655,-0.9594445989366012,4
45,2.1447373929570253,-0.2812706865671396,4
46,3.1364370118860325,-0.9243514704342745,4
47,2.1638009334781163,-0.3189494715424396,4
48,3.049065974476463,-0.9041582464870755,4
49,2.3895906270171627,-0.4639631001664398,4
50,2.6890001977978666,-0.6819174060752761,4
