step,mse,r2,n_test,r2_clipped
10,0.009364587481127704,0.993496999345064,2,0.993496999345064
21,0.0025809042920379426,0.9984091102811643,2,0.9984091102811643
25,0.007752826918948019,0.5534454711738066,2,0.5534454711738066
60,0.01625999726615173,0.9878120319997662,2,0.9878120319997662
65,0.013987463713100126,0.9179061294821496,2,0.9179061294821496
80,0.0016568206815560402,0.9444314586825406,2,0.9444314586825406
90,0.004693004245585546,0.9396162535203724,2,0.9396162535203724
102,0.01096921599473358,0.9874118754349688,2,0.9874118754349688
113,0.023358688348338028,0.9772398421212602,2,0.9772398421212602
118,0.008920935463860856,0.9948204198846489,2,0.9948204198846489
124,0.02657396820886249,0.9857122716885691,2,0.9857122716885691
135,0.002682044851963377,0.9972880889889653,2,0.9972880889889653
142,0.0015576658802659423,0.9987233123508186,2,0.9987233123508186
143,0.007645853484227913,-1.9552856040013125,2,-1.0
