world_id,r2_train,r2_test,mse_train,mse_test,n_samples,feature_dim
0,0.9996761913337959,0.9990487020147415,5.356192403695122e-05,0.00014418953870618046,190,640
1,0.9993302187435922,0.9947872948625247,4.5338669183811735e-05,0.00020175933696353705,190,640
2,0.9996836910464734,0.9989417197565515,1.7772963822721526e-05,7.314704024972597e-05,190,640
3,0.9995538785698113,0.9982774686085326,3.79841338814044e-05,0.000145930286167677,190,640
4,0.9999348663182429,0.9998032068986656,1.9460528517568082e-05,4.723702526364692e-05,190,640
5,0.9995068895915948,0.9965357983529596,3.2079473416814596e-05,0.0002110965341065216,190,640
6,0.9999826134903695,0.9999360315526991,6.310704019467504e-06,2.5326610353571803e-05,190,640
7,0.9992840096577547,0.9975603491445384,3.796029546186376e-05,0.00013584325362573342,190,640
8,0.999925197789431,0.999761334177949,2.3446948802819354e-05,7.573722674849393e-05,190,640
9,0.994657860746572,0.9859297915181697,0.00017680095368120103,0.00043846728831785234,190,640
