world_id,r2_train,r2_test,mse_train,mse_test,n_samples,feature_dim
0,0.999703111450672,0.9991040857815096,4.958177979085938e-05,0.0001349472128166947,189,640
1,0.9994480006917026,0.9955986994448842,4.102507836302112e-05,0.00018431967605588167,189,640
2,0.9998812945193918,0.9989300409680633,1.5602130388642826e-05,0.00012247322107920828,189,640
3,0.9996493204682484,0.9985925291696474,3.315727522904342e-05,0.00013887237058077332,189,640
4,0.9999375699186406,0.9997258878246782,1.79134914021604e-05,6.592382872748156e-05,189,640
5,0.9991528167197032,0.9960731925715715,5.0698941264538685e-05,0.00024779675397912045,189,640
6,0.9999282731341643,0.9998069854495464,5.989803049475151e-05,0.0001721783287247733,378,640
7,0.9983214740310365,0.9918172942810581,5.6948302976561995e-05,0.0002340673221307134,189,640
8,0.9999255163317755,0.9996797816786807,2.3283209476699835e-05,0.0001039870028819453,189,640
9,0.9986509301628266,0.997932404889136,0.0003066918598989861,0.0004477183287354351,378,640
