step,r2_train,r2_test,mse_train,mse_test,n_samples
"(0, 6)",0.9995273194872611,,0.0002315168214954251,0.0002315183541732095,2
"(0, 9)",0.9993775921600472,,0.00037896236218804344,0.0001058372396806525,3
"(1, 6)",0.9995273218562919,,0.0002378717206647884,0.00023787112074564895,2
"(1, 9)",0.9993815121373704,,0.000384731216461611,0.00010799875016625314,3
"(2, 6)",0.9995273218722808,,0.0002442771966044769,0.00024427892532148676,2
"(2, 9)",0.9993855499857356,,0.00039044508639002925,0.00011037379485624989,3
"(3, 6)",0.9995273195035775,,0.0002510016661619739,0.00025100331662328593,2
"(3, 9)",0.9993891028913536,,0.0003960706981735883,0.0001132351384141318,3
"(4, 6)",0.999527315676721,,0.0002580891631329536,0.0002580912011584934,2
"(4, 9)",0.9993925178092243,,0.0004018010744274204,0.00011663221191356542,3
"(5, 6)",0.9996388889486907,,0.0002026949557744167,0.00020269446416644563,2
"(5, 9)",0.9992243876599483,,0.0005159689568849894,0.00019302347220507383,3
"(6, 6)",0.9996688478420839,,0.00019113671286075782,0.00019113857893325972,2
"(6, 9)",0.9991401119998918,,0.0007250137327419578,4.663697142624444e-05,3
"(7, 6)",0.9996425879456852,,0.00021207654416024988,0.00021207533149021998,2
"(7, 9)",0.9993144141110101,,0.0005007655810305901,0.00010035798854948365,3
"(8, 6)",0.999650605654214,,0.00021317145883389255,0.0002131692960069996,2
"(8, 9)",0.9991921404354683,,0.0007512418817596442,1.9300409775351212e-05,3
"(9, 6)",0.9996724845949881,,0.00020543564979275174,0.00020543762591810575,2
"(9, 9)",0.9993105636084856,,0.0005045029198138728,0.00010031618926206592,3
"(10, 6)",0.9995222361339281,,0.0003081249865544252,0.0003081238031119647,2
"(10, 9)",0.9990708825331476,,0.0008476403121170837,4.377451246014931e-05,3
"(11, 6)",0.9996135070935421,,0.0002562851683731949,0.0002562834284722131,2
"(11, 9)",0.9992707630830073,,0.0006534388424563691,4.1067493108050586e-05,3
"(12, 6)",0.9994184893814239,,0.0003962231461067235,0.0003962239695328085,2
"(12, 9)",0.998988001064477,,0.0010311264195928304,4.544761276720683e-05,3
"(13, 6)",0.9995629861592525,,0.00030571074072760826,0.000305711157282789,2
"(13, 9)",0.9992049731594184,,0.0007997740900895204,4.0564741126213845e-05,3
"(14, 6)",0.9994099841253561,,0.0004238009790349063,0.000423804825018266,2
"(14, 9)",0.9989776444376023,,0.0010677956000994895,2.689299289807005e-05,3
"(15, 6)",0.99955935400116,,0.0003247892148554066,0.0003247898104052412,2
"(15, 9)",0.9990922342157309,,0.0010034537879337472,6.355657447686458e-05,3
"(16, 6)",0.999479034563588,,0.0003938147144075022,0.00039381309811687884,2
"(16, 9)",0.999308655342662,,0.0005765644544456392,0.00011743547782643517,3
"(17, 6)",0.999532941625543,,0.00036217328583029517,0.00036216911369968017,2
"(17, 9)",0.9989895713781023,,0.0012184022130988287,0.00012462138774822803,3
"(18, 6)",0.9995756428504918,,0.0003373603560152592,0.0003373576984145159,2
"(18, 9)",0.9990863065505733,,0.0009721426145930447,2.0909775033928493e-05,3
"(19, 6)",0.9995582676751131,,0.0003598887651076989,0.00035989111092103265,2
"(19, 9)",0.9989336798014202,,0.0013687619854538956,0.00018346429253413785,3
"(20, 6)",0.9995469754567325,,0.0003780689469572685,0.00037807009107450535,2
"(20, 9)",0.9989013473562163,,0.0013245152179909684,5.192948759163829e-05,3
"(21, 6)",0.9995411650959412,,0.0003919186781798114,0.0003919210134643565,2
"(21, 9)",0.998832487926795,,0.001594145886469781,0.00026585100460292107,3
"(22, 6)",0.9995368546451999,,0.00040472961003185396,0.0004047267546622666,2
"(22, 9)",0.999292416876973,,0.000807548108184528,2.9987783658327516e-05,3
"(23, 6)",0.999440647153387,,0.0005001563659933822,0.0005001540022538583,2
"(23, 9)",0.9989971194298688,,0.0013306080300538518,9.842030503555722e-05,3
"(24, 6)",0.9994719614589354,,0.00048294881339892083,0.0004829471792230126,2
