trial,s,t,condition,success,pre_used,world_seed,per_link_steps,auto_flush_on_goal
0,magenta,blue,baseline,1,116,0,200,1
0,magenta,blue,no_reset,1,116,0,200,1
0,magenta,blue,flush_planner,1,116,0,200,1
0,magenta,blue,clear_hidden_only,1,116,0,200,1
0,magenta,blue,delay_0,1,116,0,200,1
0,magenta,blue,delay_1,1,116,0,200,1
0,magenta,blue,delay_2,1,116,0,200,1
1,yellow,green,baseline,0,71,101,200,1
1,yellow,green,no_reset,0,71,101,200,1
1,yellow,green,flush_planner,0,71,101,200,1
1,yellow,green,clear_hidden_only,0,71,101,200,1
1,yellow,green,delay_0,0,71,101,200,1
1,yellow,green,delay_1,0,71,101,200,1
1,yellow,green,delay_2,0,71,101,200,1
2,blue,green,baseline,1,124,202,200,1
2,blue,green,no_reset,1,124,202,200,1
2,blue,green,flush_planner,1,124,202,200,1
2,blue,green,clear_hidden_only,1,124,202,200,1
2,blue,green,delay_0,1,124,202,200,1
2,blue,green,delay_1,1,124,202,200,1
2,blue,green,delay_2,1,124,202,200,1
3,green,blue,baseline,1,178,303,200,1
3,green,blue,no_reset,0,178,303,200,1
3,green,blue,flush_planner,1,178,303,200,1
3,green,blue,clear_hidden_only,0,178,303,200,1
3,green,blue,delay_0,1,178,303,200,1
3,green,blue,delay_1,0,178,303,200,1
3,green,blue,delay_2,1,178,303,200,1
4,green,magenta,baseline,1,60,404,200,1
4,green,magenta,no_reset,1,60,404,200,1
4,green,magenta,flush_planner,1,60,404,200,1
4,green,magenta,clear_hidden_only,1,60,404,200,1
4,green,magenta,delay_0,1,60,404,200,1
4,green,magenta,delay_1,1,60,404,200,1
4,green,magenta,delay_2,1,60,404,200,1
5,yellow,magenta,baseline,1,87,505,200,1
5,yellow,magenta,no_reset,1,87,505,200,1
5,yellow,magenta,flush_planner,1,87,505,200,1
5,yellow,magenta,clear_hidden_only,1,87,505,200,1
5,yellow,magenta,delay_0,1,87,505,200,1
5,yellow,magenta,delay_1,1,87,505,200,1
5,yellow,magenta,delay_2,1,87,505,200,1
6,yellow,blue,baseline,1,200,606,200,1
6,yellow,blue,no_reset,1,200,606,200,1
6,yellow,blue,flush_planner,1,200,606,200,1
6,yellow,blue,clear_hidden_only,1,200,606,200,1
6,yellow,blue,delay_0,1,200,606,200,1
6,yellow,blue,delay_1,1,200,606,200,1
6,yellow,blue,delay_2,0,200,606,200,1
7,magenta,yellow,baseline,1,67,707,200,1
7,magenta,yellow,no_reset,1,67,707,200,1
7,magenta,yellow,flush_planner,1,67,707,200,1
7,magenta,yellow,clear_hidden_only,1,67,707,200,1
7,magenta,yellow,delay_0,1,67,707,200,1
7,magenta,yellow,delay_1,1,67,707,200,1
7,magenta,yellow,delay_2,1,67,707,200,1
8,yellow,blue,baseline,1,104,808,200,1
8,yellow,blue,no_reset,1,104,808,200,1
8,yellow,blue,flush_planner,1,104,808,200,1
8,yellow,blue,clear_hidden_only,1,104,808,200,1
8,yellow,blue,delay_0,1,104,808,200,1
8,yellow,blue,delay_1,1,104,808,200,1
8,yellow,blue,delay_2,1,104,808,200,1
9,yellow,magenta,baseline,1,84,909,200,1
9,yellow,magenta,no_reset,1,84,909,200,1
9,yellow,magenta,flush_planner,1,84,909,200,1
9,yellow,magenta,clear_hidden_only,1,84,909,200,1
9,yellow,magenta,delay_0,1,84,909,200,1
9,yellow,magenta,delay_1,1,84,909,200,1
9,yellow,magenta,delay_2,1,84,909,200,1
10,blue,magenta,baseline,1,98,1010,200,1
10,blue,magenta,no_reset,1,98,1010,200,1
10,blue,magenta,flush_planner,1,98,1010,200,1
10,blue,magenta,clear_hidden_only,1,98,1010,200,1
10,blue,magenta,delay_0,1,98,1010,200,1
10,blue,magenta,delay_1,1,98,1010,200,1
10,blue,magenta,delay_2,1,98,1010,200,1
11,yellow,green,baseline,1,55,1111,200,1
11,yellow,green,no_reset,1,55,1111,200,1
11,yellow,green,flush_planner,1,55,1111,200,1
11,yellow,green,clear_hidden_only,1,55,1111,200,1
11,yellow,green,delay_0,1,55,1111,200,1
11,yellow,green,delay_1,1,55,1111,200,1
11,yellow,green,delay_2,1,55,1111,200,1
12,blue,magenta,baseline,1,70,1212,200,1
12,blue,magenta,no_reset,1,70,1212,200,1
