target,shape,metric,in,h1,h2,h3,out
agent_sensors,9,R²,-0.018331950219968956,-0.4018863383680582,-0.6908094729814265,-0.45990886228779954,-0.05695583422978719
wall_lidar,16,R²,-37.18860013782978,-24.0813010931015,-46.68681448698044,-42.24968184530735,-37.78928665444255
zone_lidar,16,R²,-1.6413106247782707,-2.822735294699669,-2.2804011031985283,-1.9232504963874817,-1.0386979058384895
agent_pos,2,R²,-6.644714593887329,-10.015851020812988,-8.869946241378784,-9.911205291748047,-0.032570213079452515
delta_xy,2,R²,-181.84738159179688,-2.7594507932662964,-2.7480469942092896,-2.9831628799438477,-0.08408045768737793
vz,1,R²,0.8212670087814331,-0.6699841022491455,0.1961410641670227,0.25596290826797485,0.6009867787361145
wz,1,R²,0.48509782552719116,-1.213517665863037,-1.2036528587341309,-0.7996604442596436,-0.43484175205230713
wz_sign,1,Acc,0.7733333333333333,0.43666666666666665,0.43333333333333335,0.4633333333333333,0.59
pose_k5,2,R²,-6.518888235092163,-11.293322324752808,-12.832536935806274,-13.371522307395935,nan
pose_k10,2,R²,-6.402947425842285,-12.034544467926025,-13.148725032806396,-12.564406871795654,nan
contacts,4,R²,-1.2114839553833008,-1.2911999821662903,-1.3345225751399994,-1.7001815140247345,-0.6610886752605438
min_wall_dist,1,R²,0.0,0.0,0.0,0.0,0.0
wall_sector_argmin,1,Acc,0.6266666666666667,0.6333333333333333,0.73,0.7266666666666667,0.7733333333333333
free_space_ahead,1,Acc*,0.9133333333333333,0.9133333333333333,0.9133333333333333,0.9133333333333333,0.9133333333333333
nearest_zone_id,1,Acc,0.2,0.2733333333333333,0.12666666666666668,0.15333333333333332,0.12333333333333334
nearest_zone_dir_cls,1,Acc,0.016666666666666666,0.006666666666666667,0.02,0.02,0.0
in_zone_flags,4,Acc,0.6316666666666666,0.6716666666666666,0.5791666666666666,0.6541666666666667,0.5516666666666666
goal_colour_id,1,Acc,0.0,0.0,0.0,0.0,0.0
bearing_to_goal_cls,1,Acc,0.016666666666666666,0.006666666666666667,0.02,0.02,0.0
progress_sign_k3,1,Acc,0.69,0.7033333333333334,0.69,0.7066666666666667,0.7266666666666667
next_wall_lidar,16,R²,-39.91920280084014,-25.900694631040096,-43.77877903729677,-42.40331572666764,-37.68126593902707
front_clearance,1,R²,-0.6068211793899536,-3.605502128601074,-3.253185749053955,-2.907630205154419,-1.1968104839324951
policy_mu,2,R²,0.6390007585287094,0.8570581525564194,0.9093350265175104,0.9696867791935802,0.9980342356720939
policy_speed_mag,1,R²,-2.0387966632843018,-0.8449290990829468,-2.092168092727661,-1.0987632274627686,0.6530222296714783
policy_log_std,2,R²,0.19872379302978516,0.3593162000179291,0.48381873965263367,0.5468913912773132,0.9970904580550268
policy_entropy,1,R²,0.19372236728668213,0.38316863775253296,0.5125439167022705,0.5675263404846191,0.9993797540664673
d_front_clearance_sign,1,Acc,0.79,0.6466666666666666,0.6733333333333333,0.66,0.6233333333333333
d_bearing_to_goal_sign,1,Acc,0.7766666666666666,0.76,0.67,0.6433333333333333,0.5366666666666666
avoidance_vs_goal,1,Acc*,1.0,1.0,1.0,1.0,1.0
policy_angle_cls8,1,Acc,0.38666666666666666,0.41,0.4633333333333333,0.5266666666666666,0.7166666666666667
policy_turn_sign,1,Acc,0.8833333333333333,0.9633333333333334,0.97,0.9833333333333333,0.9933333333333333
policy_stop_go,1,Acc,0.95,0.9666666666666667,0.9433333333333334,0.8766666666666667,0.8766666666666667
delta_along_mu,1,R²,-212.78721618652344,-3.184441566467285,-3.187837600708008,-3.4648232460021973,-0.09277081489562988
delta_perp_mu,1,R²,-1.754441261291504,0.022815585136413574,0.0005519986152648926,-0.007052302360534668,0.0002334117889404297
policy_alignment,1,R²,0.2364330291748047,-0.2953817844390869,0.3724721670150757,0.18857842683792114,0.6744240522384644
