target,shape,metric,in_lin,h1_lin,h2_lin,h3_lin,out_lin,in_mlp,h1_mlp,h2_mlp,h3_mlp,out_mlp,Δ_in,Δ_h1,Δ_h2,Δ_h3,Δ_out
agent_pos,2,R²,-6.644714593887329,-10.015851020812988,-8.869946241378784,-9.911205291748049,-0.0325702130794525,-8.013704299926758,-7.149972677230835,-6.776937961578369,-8.14242672920227,-2.0222612023353577,-1.3689897060394287,2.8658783435821533,2.093008279800415,1.7687785625457781,-1.9896909892559052
agent_sensors,9,R²,-0.0183319502199689,-0.4018863383680582,-0.6908094729814265,-0.4599088622877995,-0.0569558342297871,-4.877279361502992,-0.7581967881156338,-1.0411407264570396,-0.3385335165593359,-0.1573726965321434,-4.858947411283022,-0.35631044974757564,-0.3503312534756131,0.12137534572846359,-0.10041686230235629
bearing_to_goal_cls,1,Acc,0.0166666666666666,0.0066666666666666,0.02,0.02,0.0,0.1766666666666666,0.0433333333333333,0.0366666666666666,0.0666666666666666,0.03,0.16,0.0366666666666667,0.016666666666666597,0.04666666666666659,0.03
contacts,4,R²,-1.2114839553833008,-1.2911999821662905,-1.3345225751399994,-1.7001815140247345,-0.6610886752605438,-23.325162649154663,-4.6529752016067505,-8.823206067085266,-4.605983197689056,-2.350399136543274,-22.113678693771362,-3.36177521944046,-7.488683491945267,-2.905801683664322,-1.68931046128273
d_bearing_to_goal_sign,1,Acc,0.7766666666666666,0.76,0.67,0.6433333333333333,0.5366666666666666,0.9666666666666668,0.9566666666666668,0.9033333333333332,0.9666666666666668,0.9666666666666668,0.19000000000000017,0.19666666666666677,0.23333333333333317,0.3233333333333335,0.43000000000000016
d_front_clearance_sign,1,Acc,0.79,0.6466666666666666,0.6733333333333333,0.66,0.6233333333333333,0.5866666666666667,0.5966666666666667,0.5633333333333334,0.5933333333333334,0.5933333333333334,-0.20333333333333337,-0.04999999999999993,-0.10999999999999999,-0.06666666666666665,-0.029999999999999916
delta_along_mu,1,R²,-212.78721618652344,-3.184441566467285,-3.187837600708008,-3.4648232460021973,-0.0927708148956298,-293.2128601074219,-24.37325096130371,-17.31266212463379,-9.472908020019531,-1.594712495803833,-80.42564392089844,-21.188809394836426,-14.124824523925781,-6.008084774017334,-1.5019416809082031
delta_perp_mu,1,R²,-1.754441261291504,0.0228155851364135,0.0005519986152648,-0.0070523023605346,0.0002334117889404,-206.21678161621097,-16.711103439331055,-9.610173225402832,-6.950134754180908,-1.1311960220336914,-204.46234035491946,-16.73391902446747,-9.610725224018097,-6.9430824518203735,-1.1314294338226318
delta_xy,2,R²,-181.84738159179688,-2.7594507932662964,-2.7480469942092896,-2.9831628799438477,-0.0840804576873779,-734.8369369506836,-59.856804847717285,-37.470036029815674,-23.115081310272217,-3.9963817596435542,-552.9895553588867,-57.09735405445099,-34.721989035606384,-20.13191843032837,-3.9123013019561763
front_clearance,1,R²,-0.6068211793899536,-3.605502128601074,-3.253185749053955,-2.907630205154419,-1.1968104839324951,-58.59504699707031,-13.771068572998049,-15.77485466003418,-6.486568450927734,-0.6467678546905518,-57.98822581768036,-10.165566444396974,-12.521668910980225,-3.5789382457733154,0.5500426292419434
