target,shape,metric,in,h1,h2,h3,out
agent_sensors,9,R²,0.5747804807292091,0.41769633995782995,0.3541575565727221,0.32849251344386077,0.15368339750501844
wall_lidar,16,R²,0.5712260501459241,0.22933275066316128,0.07890402525663376,0.049918562173843384,-0.0074677132070064545
zone_lidar,16,R²,0.5950628286227584,0.3439632561057806,0.23020594380795956,0.13516083732247353,-0.05786304175853729
agent_pos,2,R²,0.19911879301071167,-0.2628270983695984,-0.19262415170669556,-0.16883927583694458,-0.0667765736579895
delta_xy,2,R²,-0.011835753917694092,0.0009027719497680664,0.001879572868347168,-0.002608776092529297,-0.0008495450019836426
vz,1,R²,0.971534788608551,0.9129515290260315,0.884048342704773,0.8628127574920654,0.6999291777610779
wz,1,R²,0.7345571517944336,0.40673309564590454,0.21881043910980225,0.12519657611846924,-0.03889596462249756
wz_sign,1,Acc,0.8286240786240786,0.7493857493857494,0.6922604422604423,0.6842751842751843,0.5110565110565111
pose_k5,2,R²,-0.40943270921707153,-0.3149417042732239,-0.23812264204025269,-0.280032217502594,nan
pose_k10,2,R²,-0.6296066641807556,-0.52259361743927,-0.3884223699569702,-0.3369280695915222,nan
contacts,4,R²,0.4055590592324734,0.2728719860315323,0.18360796570777893,0.1354294866323471,-0.02306525409221649
min_wall_dist,1,R²,0.0,0.0,0.0,0.0,0.0
wall_sector_argmin,1,Acc,0.7248157248157249,0.5866093366093366,0.5018427518427518,0.4834152334152334,0.1554054054054054
free_space_ahead,1,Acc,0.9109336609336609,0.8372235872235873,0.8157248157248157,0.769041769041769,0.5202702702702703
nearest_zone_id,1,Acc,0.21928746928746928,0.1732186732186732,0.14496314496314497,0.17813267813267813,0.09705159705159705
nearest_zone_dir_cls,1,Acc,0.5528255528255528,0.3808353808353808,0.3132678132678133,0.2334152334152334,0.12285012285012285
in_zone_flags,4,Acc,0.7215909090909092,0.6710687960687961,0.6509520884520885,0.6142506142506143,0.567414004914005
goal_colour_id,1,Acc,1.0,0.9932432432432432,0.9772727272727273,0.9109336609336609,0.30036855036855037
bearing_to_goal_cls,1,Acc,0.5528255528255528,0.3808353808353808,0.3132678132678133,0.2334152334152334,0.12285012285012285
progress_sign_k3,1,Acc,0.5884520884520884,0.6044226044226044,0.5595823095823096,0.6382063882063882,0.547911547911548
next_wall_lidar,16,R²,0.5647497484460473,0.22597444988787174,0.07959066331386566,0.05060981214046478,-0.006994064897298813
front_clearance,1,R²,0.5464730262756348,0.2689749598503113,0.15866708755493164,0.09236133098602295,-0.011079668998718262
policy_mu,2,R²,0.9331807717680931,0.9672424364835024,0.983696015086025,0.993557509733364,0.9999984675577025
policy_speed_mag,1,R²,0.6667546033859253,0.7490984201431274,0.8002954125404358,0.8444452881813049,0.9571754932403564
policy_log_std,2,R²,0.8567644953727722,0.8912430591881275,0.8993563503026962,0.9427960459142923,0.9999927739279428
policy_entropy,1,R²,0.8718398809432983,0.9032678604125977,0.9066418409347534,0.9506925344467163,0.999999463558197
d_front_clearance_sign,1,Acc,0.6891891891891891,0.7192874692874693,0.6824324324324325,0.6566339066339066,0.6228501228501229
d_bearing_to_goal_sign,1,Acc,0.788083538083538,0.765970515970516,0.7248157248157249,0.7082309582309583,0.7334152334152334
avoidance_vs_goal,1,Acc,0.9895577395577395,0.9828009828009828,0.9557739557739557,0.9797297297297297,0.7186732186732187
policy_angle_cls8,1,Acc,0.8126535626535627,0.8925061425061425,0.9121621621621622,0.9281326781326781,0.9656019656019657
policy_turn_sign,1,Acc,0.8894348894348895,0.9545454545454546,0.9797297297297297,0.9803439803439803,0.9926289926289926
policy_stop_go,1,Acc,0.9428746928746928,0.8703931203931204,0.9471744471744472,0.9201474201474201,0.9705159705159705
delta_along_mu,1,R²,-0.021425843238830566,-0.008607983589172363,-0.008289813995361328,0.0004063248634338379,-0.0003293752670288086
delta_perp_mu,1,R²,-0.15154623985290527,-0.00764310359954834,0.0010826587677001953,-0.008614301681518555,-0.0009379386901855469
policy_alignment,1,R²,0.8670396208763123,0.8631051778793335,0.8140503168106079,0.8177506327629089,0.7405161261558533
