target,shape,metric,in,h1,h2,h3,out
agent_sensors,9,R²,0.5134718960358037,0.3711257560385598,0.30787022246254814,0.24138759904437596,0.026934650209214952
wall_lidar,16,R²,0.4972476991824806,0.21090173721313477,0.15258108638226986,0.11634205840528011,-0.05602366104722023
zone_lidar,16,R²,0.4162497855722904,0.11705096531659365,0.08408338855952024,-0.0020412132143974304,-0.04739229753613472
vz,1,R²,0.9347188472747803,0.7145832777023315,0.6090682744979858,0.42948049306869507,-0.18266284465789795
wz,1,R²,0.29591691493988037,0.11526370048522949,0.028745293617248535,-0.041689276695251465,-0.04838693141937256
wz_sign,1,Acc,0.8118,0.7224,0.7094,0.6716,0.5592
pose_k5,2,R²,-0.5383923053741455,-0.3728163242340088,-0.2871490716934204,-0.31230437755584717,nan
pose_k10,2,R²,-0.4290396571159363,-0.38035494089126587,-0.20307433605194092,-0.20570063591003418,nan
agent_pos,2,R²,-1.4706820249557495,-1.9053605794906616,-1.5379113554954529,-1.1535134315490723,-0.566227376461029
delta_xy,2,R²,-0.05708557367324829,-0.023373186588287354,-0.024095773696899414,-0.01872420310974121,-0.001343369483947754
contacts,4,R²,0.5726001039147377,0.07615591585636139,0.09471511840820312,0.07012519240379333,-0.06256009638309479
min_wall_dist,1,R²,0.0,0.0,0.0,0.0,0.0
wall_sector_argmin,1,Acc,0.7158,0.5902,0.5384,0.5144,0.055
free_space_ahead,1,Acc,0.9464,0.9264,0.9502,0.9496,0.5446
nearest_zone_id,1,Acc,0.3558,0.3554,0.3304,0.3302,0.206
nearest_zone_dir_cls,1,Acc,0.4856,0.364,0.3292,0.296,0.1574
in_zone_flags,4,Acc,0.8792,0.8954500000000001,0.88245,0.8624,0.5912499999999999
goal_colour_id,1,Acc,1.0,1.0,1.0,0.9996,0.409
bearing_to_goal_cls,1,Acc,0.4856,0.364,0.3292,0.296,0.1574
progress_sign_k3,1,Acc,0.6524,0.6496,0.6084,0.6304,0.5402
next_wall_lidar,16,R²,0.4913023975677788,0.20922360196709633,0.14924760907888412,0.11402140744030476,-0.05943618714809418
front_clearance,1,R²,0.9288784861564636,0.73574298620224,0.6212334632873535,0.6099625825881958,0.022448480129241943
policy_mu,2,R²,0.3102344274520874,0.6661953181028366,0.7451461106538773,0.7912783175706863,0.9999981786565968
policy_speed_mag,1,R²,-0.018735408782958984,0.013059794902801514,0.023181676864624023,0.10628503561019897,0.922094464302063
policy_log_std,2,R²,-0.008362114429473877,0.10738015174865723,0.09200140833854675,0.1322731077671051,0.9999981198147339
policy_entropy,1,R²,-0.027759790420532227,0.19866019487380981,0.1590820550918579,0.23730486631393433,0.999998152256012
d_front_clearance_sign,1,Acc,0.5676,0.5496,0.5804,0.5962,0.5118
d_bearing_to_goal_sign,1,Acc,0.6066,0.4884,0.585,0.5858,0.4202
avoidance_vs_goal,1,Acc,0.9368,0.9336,0.9314,0.938,0.4566
policy_angle_cls8,1,Acc,0.4048,0.6576,0.8596,0.9454,0.8786
policy_turn_sign,1,Acc,0.717,0.8826,0.9624,0.9888,0.9962
policy_stop_go,1,Acc,0.989,0.992,0.987,0.9992,0.9918
policy_alignment,1,R²,0.4185277819633484,0.6929805278778076,0.7433969974517822,0.7791828513145447,0.9769070744514465
delta_along_mu,1,R²,-0.025388240814208984,-0.03349506855010986,-0.02565133571624756,-0.0314556360244751,9.41157341003418e-05
delta_perp_mu,1,R²,-0.08904671669006348,-0.043076157569885254,-0.027012109756469727,-0.018186569213867188,-0.0032286643981933594
