target,shape,metric,in,h1,h2,h3,out
agent_sensors,9,R²,0.40830816162957084,0.315953070918719,0.189166107111507,0.24427564276589286,0.09026739332411024
wall_lidar,16,R²,0.3174116984009743,0.052798415534198284,-0.18973582796752453,-0.10821311920881271,-0.10244457423686981
zone_lidar,16,R²,0.022892720066010952,-0.23701334092766047,-0.4794496241956949,-0.4417691081762314,-0.12432131171226501
vz,1,R²,0.9551852941513062,0.8221393823623657,0.6709043979644775,0.6247861385345459,0.20259582996368408
wz,1,R²,-0.5056828260421753,-0.35421621799468994,-0.6420243978500366,-0.2594773769378662,-0.05238628387451172
wz_sign,1,Acc,0.7564,0.7452,0.7604,0.7624,0.7474
pose_k5,2,R²,-2.4815762042999268,-1.379799723625183,-1.3652702569961548,-1.3466566801071167,nan
pose_k10,2,R²,-1.5627868175506592,-0.9281800389289856,-1.0373411774635315,-0.9794026613235474,nan
agent_pos,2,R²,-0.8629623651504517,-1.1064677238464355,-1.232505977153778,-1.39581698179245,-0.5115376114845276
delta_xy,2,R²,-12.056488037109375,-3.015520215034485,-1.9872205257415771,-0.99176025390625,-0.14047735929489136
contacts,4,R²,0.2849755883216858,-0.13076365739107132,-0.19708023965358734,-0.07700972259044647,-0.2067168653011322
min_wall_dist,1,R²,0.0,0.0,0.0,0.0,0.0
wall_sector_argmin,1,Acc,0.7408,0.7204,0.6876,0.6952,0.7292
free_space_ahead,1,Acc,0.951,0.9586,0.9514,0.9524,0.8398
nearest_zone_id,1,Acc,0.4036,0.3524,0.3432,0.3382,0.1488
nearest_zone_dir_cls,1,Acc,0.4384,0.3904,0.3396,0.3532,0.235
in_zone_flags,4,Acc,0.9151,0.91275,0.91565,0.90235,0.7652000000000001
goal_colour_id,1,Acc,0.998,0.9998,0.998,0.99,0.468
bearing_to_goal_cls,1,Acc,0.4384,0.3904,0.3396,0.3532,0.235
progress_sign_k3,1,Acc,0.7676,0.6602,0.6588,0.6608,0.5444
next_wall_lidar,16,R²,0.06837894394993782,-0.07773110829293728,-0.30676076374948025,-0.12256459891796112,-0.07448373734951019
front_clearance,1,R²,0.8653532266616821,0.5936504602432251,0.6088485717773438,0.5992588996887207,0.10605967044830322
policy_mu,2,R²,0.6269777566194534,0.8404262810945511,0.9621434845030308,0.9906066791154444,0.9983204468153417
policy_speed_mag,1,R²,-0.7096883058547974,-0.6488351821899414,-0.42848801612854004,0.6323004961013794,0.891194224357605
policy_log_std,2,R²,-0.19659951329231262,0.11877718567848206,0.43134232610464096,0.3870917856693268,-5.440636612474918
policy_entropy,1,R²,-3.190639019012451,-3.681119441986084,-3.0823793411254883,-1.647444725036621,-0.9977670907974243
d_front_clearance_sign,1,Acc,0.6092,0.5884,0.5876,0.5896,0.532
d_bearing_to_goal_sign,1,Acc,0.9444,0.9444,0.9444,0.9444,0.9444
avoidance_vs_goal,1,Acc,0.9656,0.9564,0.9616,0.9604,0.9588
policy_angle_cls8,1,Acc,0.6724,0.789,0.888,0.9574,0.9536
policy_turn_sign,1,Acc,0.8664,0.9222,0.969,0.9848,0.9992
policy_stop_go,1,Acc,1.0,1.0,1.0,1.0,1.0
policy_alignment,1,R²,0.6112913489341736,0.7794867753982544,0.8798513412475586,0.9749264121055603,0.9925880432128906
delta_along_mu,1,R²,-11.886975288391113,-1.8313724994659424,-3.0553770065307617,-1.183821201324463,-0.046906113624572754
delta_perp_mu,1,R²,-12.29478645324707,-2.0281124114990234,-1.7015318870544434,-1.1036412715911865,-0.1600888967514038
