world_seed,color,n_rows,n_links,steps_median,steps_min,steps_max
7663,green,400,2,319.0,1,637
582,blue,400,2,249.5,1,498
11349,green,400,2,240.5,1,480
8342,green,385,2,397.0,124,589
6499,blue,377,2,189.0,1,543
194,magenta,343,2,460.0,139,631
4462,magenta,341,2,171.0,1,594
10961,blue,311,2,357.0,63,512
9894,blue,302,2,300.5,150,496
9312,blue,294,2,335.5,117,482
1455,magenta,288,2,234.5,1,378
8439,magenta,287,2,202.0,59,442
4074,green,287,2,288.0,1,431
7566,yellow,267,2,134.0,1,399
4850,green,267,2,134.0,1,413
7857,blue,264,2,132.5,1,336
1164,blue,262,2,131.5,1,408
10088,yellow,259,2,130.0,1,339
6305,blue,258,2,254.5,126,505
8536,magenta,255,2,258.0,131,438
3395,yellow,254,2,282.5,1,409
97,green,251,2,305.0,119,430
11252,yellow,251,2,494.0,1,619
8924,green,250,2,261.5,1,386
7081,magenta,248,2,272.5,1,396
6305,magenta,247,2,124.0,1,447
4753,magenta,245,2,164.0,42,411
6014,green,241,2,160.0,40,412
4365,yellow,235,2,174.0,57,427
6887,green,230,2,400.5,1,515
8051,magenta,228,2,114.5,1,628
3298,green,227,2,114.0,1,541
4559,magenta,223,2,197.0,86,367
10185,blue,223,2,112.0,1,521
3880,yellow,216,2,191.5,84,499
2231,blue,212,2,344.5,1,450
2425,blue,211,2,506.0,1,611
10767,green,207,2,183.0,80,341
291,yellow,207,2,274.0,1,377
1746,yellow,206,2,294.5,192,555
1358,blue,206,2,103.5,1,422
2619,yellow,203,2,241.0,1,342
6790,yellow,201,2,193.0,93,362
10864,green,200,1,100.5,1,200
2425,green,200,1,394.5,295,494
5820,blue,200,1,190.5,91,290
8051,green,200,1,259.5,160,359
5917,green,200,1,391.5,292,491
5626,green,200,1,269.5,170,369
2522,green,200,1,282.5,183,382
5335,yellow,200,1,154.5,55,254
5141,blue,200,1,207.5,108,307
2425,magenta,200,1,194.5,95,294
2134,blue,200,1,186.5,87,286
5044,blue,200,1,385.5,286,485
4947,yellow,200,1,163.5,64,263
10670,blue,200,1,414.5,315,514
4656,yellow,200,1,298.5,199,398
4656,magenta,200,1,498.5,399,598
679,green,200,1,379.5,280,479
3298,blue,200,1,376.5,277,476
9215,blue,200,1,414.5,315,514
1067,yellow,200,1,569.5,470,669
3686,yellow,200,1,243.5,144,343
3783,green,200,1,279.5,180,379
3977,green,200,1,283.5,184,383
2134,green,200,1,386.5,287,486
3880,blue,200,1,322.5,223,422
5917,magenta,200,1,100.5,1,200
1843,yellow,200,1,302.5,203,402
8051,yellow,200,1,459.5,360,559
11252,blue,200,1,151.5,52,251
7372,yellow,200,1,361.5,262,461
9797,green,200,1,309.5,210,409
1649,green,200,1,396.5,297,496
9215,green,200,1,158.5,59,258
6111,blue,200,1,345.5,246,445
8827,blue,199,1,295.0,196,394
873,blue,199,2,212.0,113,358
5723,green,198,1,333.5,235,432
9409,yellow,195,2,291.0,1,388
11058,green,193,1,371.0,275,467
4268,green,193,2,97.0,1,245
4365,magenta,192,2,258.5,1,354
3492,blue,192,2,198.5,1,294
11058,blue,191,2,179.0,1,274
1746,blue,191,1,96.0,1,191
5432,magenta,191,1,96.0,1,191
776,green,188,2,184.5,1,278
10379,blue,187,2,94.0,1,236
5432,green,187,1,347.0,254,440
