world_id,r2_train,r2_test,mse_train,mse_test,n_samples,feature_dim
0,0.9750255422085239,0.970750889012332,0.002563344975815625,0.003725223836494765,396,64
1,0.9857884141708408,0.9807175647372289,0.0008750237379637811,0.0011609529174354254,198,64
2,0.9957260162125438,0.9933926101613579,0.0005837597837417524,0.000777155094569451,198,64
3,0.9963924044211707,0.9943954055338771,0.00034704043922583415,0.0005324457263293882,198,64
4,0.9989158740182447,0.9984850391484075,0.0003858629276789526,0.0006888887865952363,198,64
5,0.9892168092331315,0.9869589621190948,0.0006889367723032735,0.0010403749686912942,198,64
6,0.9988876430834469,0.9988260914450162,0.0009615060736121628,0.0010403015754235018,396,64
7,0.9885911878877467,0.9878353589476245,0.0007154703627746196,0.0010627999587616611,198,64
8,0.9984922787444754,0.998683154665531,0.0005167409897526078,0.00045984596011052045,198,64
9,0.9820704654131525,0.984467904880556,0.005446718218098792,0.004431781189703065,594,64
