step,world_id,r2_train,r2_test,mse_train,mse_test,n_samples
0,6,0.9994748185028793,,0.00025326362171353096,0.00025326385605854034,2
0,9,0.998517625509371,,0.0009920151007467705,1.1245004984486468e-05,3
1,6,0.9994748225459187,,0.0002601377550169238,0.00026013781314252095,2
1,9,0.9985306434767816,,0.0009952669176633666,9.627404489789591e-06,3
2,6,0.9994748194116414,,0.00026708483807857215,0.00026708679905724944,2
2,9,0.9985430502736341,,0.0009978681261215443,8.022711519066176e-06,3
3,6,0.9994748196481995,,0.0002744367849968831,0.00027443458296592515,2
3,9,0.9985558752651207,,0.0010000076967545866,6.587818581136683e-06,3
4,6,0.9994748131061133,,0.00028219125641252863,0.0002821895149244637,2
4,9,0.9985683644601031,,0.001001685356733778,5.254902057666874e-06,3
5,6,0.99962377977057,,0.0002077932384282259,0.00020779198980751956,2
5,9,0.9983119896062821,,0.001191914690265024,6.584689427054401e-06,3
6,6,0.9996592147848407,,0.00019353076294766083,0.00019353201031419086,2
6,9,0.9981763814508806,,0.001338456595337134,2.8926127211610123e-05,3
7,6,0.9996379700176512,,0.00021134350976687044,0.00021134445196737818,2
7,9,0.9974866719730111,,0.0019378009219852893,0.0003059623903782965,3
8,6,0.9996069038515292,,0.00023595614099774555,0.00023595626612805346,2
8,9,0.9990630644936717,,0.0006680506198105002,3.540081385261779e-05,3
9,6,0.9996528447833821,,0.00021426984896436458,0.0002142698986804558,2
9,9,0.99729248956869,,0.002120081939711708,0.0003510961825001599,3
10,6,0.9994833180531484,,0.00032790449908750777,0.0003279053352077271,2
10,9,0.9984073019038914,,0.0011892874951753478,2.233440927130583e-06,3
11,6,0.9996041447040199,,0.0002583511623108893,0.00025835076805208907,2
11,9,0.9970372981302467,,0.002362607843894618,0.0004382038562269984,3
12,6,0.9995253369108061,,0.0003186240994808823,0.00031862009337516636,2
12,9,0.9982313679631412,,0.0013535782900049604,5.403850335644409e-06,3
13,6,0.9995539400874223,,0.0003077750630115453,0.0003077746624118438,2
13,9,0.9965013060505941,,0.0028428650936804653,0.0006039173093443451,3
14,6,0.9996400273882888,,0.00025509704728874467,0.0002550958001733367,2
14,9,0.9983077808482506,,0.0013228099683135195,1.9026931590127647e-06,3
15,6,0.9993989648381162,,0.00043751339774476946,0.00043751077882937236,2
15,9,0.9966882146727412,,0.002740053463629184,0.0005157439222784195,3
16,6,0.9995185596571241,,0.0003597576612251661,0.0003597608746108247,2
16,9,0.9991244572462816,,0.0006902569416925299,8.297848772547075e-05,3
17,6,0.9995540225225896,,0.00034193269223155493,0.00034193576765187384,2
17,9,0.9971661036278068,,0.0024138227568727536,0.0004449548186128302,3
18,6,0.9995257643294839,,0.0003728718783849828,0.00037287253541991175,2
18,9,0.9992747846776585,,0.0005915898302952782,0.00010079464644209003,3
19,6,0.9995109368347119,,0.0003939368223546335,0.00039393650601479886,2
19,9,0.997953317402593,,0.0018198360339241912,0.0002827336493271574,3
20,6,0.9995049693663558,,0.00040833256634584714,0.000408332744080423,2
20,9,0.9989962754356037,,0.0008948204307087186,1.8170483311150667e-06,3
21,6,0.9995050462893506,,0.00041790847998297777,0.00041791109990797347,2
21,9,0.9986469402174105,,0.001264846774240727,0.00011940887671824632,3
22,6,0.9994923044740912,,0.0004384268765263883,0.00043842261724803865,2
22,9,0.9993178184801774,,0.0006257510940069352,3.077087541754423e-05,3
23,6,0.9994757738827221,,0.0004628564699997657,0.0004628582023734126,2
23,9,0.9991498352133732,,0.0008344956730853833,1.1399642367539915e-05,3
24,6,0.9994548586341342,,0.0004922167326892658,0.0004922143334395544,2
24,9,0.9992700975745454,,0.0007319159063608852,6.083695295423023e-06,3
25,6,0.9994936554745231,,0.00046737628546515843,0.0004673822365221093,2
25,9,0.9993798577376632,,0.0006650120863339272,6.269065905472379e-06,3
26,6,0.9996117287520325,,0.00036628174979501935,0.00036628130492221474,2
26,9,0.9994211050861789,,0.0005946833903044216,5.153483962587363e-05,3
27,6,0.9996198004648306,,0.0003665897477556758,0.0003665870434199929,2
27,9,0.9995307569113038,,0.00047530950631749985,5.834390238747724e-05,3
28,6,0.9996214296616175,,0.0003729583857655676,0.00037296090177886657,2
28,9,0.9994959296716208,,0.00046364586081721053,0.00014057456435672718,3
29,6,0.9996164561824294,,0.0003859616243681122,0.00038595887649553234,2
29,9,0.9995772188555606,,0.0002897402924045716,0.00024536185925119264,3
30,6,0.9996172434758168,,0.00039339057208851564,0.00039338659062143524,2
30,9,0.9993329988756123,,0.0004710052593940965,0.00042509257488125487,3
31,6,0.9995417995718141,,0.00048092567910060945,0.0004809156423479573,2
31,9,0.9992013372559666,,0.0004344938110489094,0.0005252838070886246,3
32,6,0.9996324717911227,,0.00039373943187713957,0.00039374171343333397,2
32,9,0.9990273705368649,,0.0004616066685832716,0.0007209419038732387,3
33,6,0.9996349023073814,,0.0003991132094626642,0.0003991132018918124,2
33,9,0.9989513751939958,,0.0004905659455673128,0.0007743880987476166,3
34,6,0.9996415541365242,,0.00039971627433618446,0.0003997082402116026,2
34,9,0.9988397612675917,,0.0005482783588964815,0.0009222841679381418,3
35,6,0.9996493732947846,,0.0003987116243715144,0.00039870639875761474,2
35,9,0.9987982350875337,,0.0005086915925912225,0.0009411658777623471,3
36,6,0.999658946924212,,0.0003953328961503775,0.00039533254311406146,2
36,9,0.9985626129885083,,0.0006013742186931172,0.0010252581458052524,3
37,6,0.9996737341739347,,0.00038537765633701827,0.0003853766476263066,2
37,9,0.9983646251264221,,0.0005954876090159113,0.0010913369198626173,3
38,6,0.9996356980775241,,0.00043828135799224143,0.00043828362461201676,2
38,9,0.9980936635138014,,0.000738960831567341,0.0013776656380568141,3
39,6,0.9997199027485162,,0.00034301027386206723,0.00034300984019403367,2
39,9,0.998323172468674,,0.0005681401091515738,0.0010542976915704245,3
40,6,0.9997279288197805,,0.0003390524347807364,0.0003390491609941167,2
40,9,0.998521495580879,,0.0005422650213849222,0.0009202555833723797,3
41,6,0.9997384182045693,,0.00033151720175718727,0.0003315163160936519,2
41,9,0.9990656484881959,,0.00047400034072498043,0.0007704387338480871,3
42,6,0.9997419031973169,,0.00033241941245073885,0.0003324178832256194,2
42,9,0.9983845562422335,,0.0006426882253614506,0.0011874623792533774,3
43,6,0.999748400220611,,0.0003291478505915874,0.00032914705303875103,2
43,9,0.9993774873611057,,0.0003048610818761043,0.0003432783272888927,3
44,6,0.9997517813037825,,0.00032957220425189646,0.000329567803062718,2
44,9,0.9987956042525228,,0.0005317642598079713,0.0009317661515010617,3
45,6,0.9997065370791146,,0.0003951215081705776,0.00039512044971578176,2
45,9,0.9992072758121024,,0.0004620361840862501,0.0007659201449037195,3
46,6,0.9997232645945213,,0.00037752103239911287,0.00037752258105622834,2
46,9,0.9988784080424791,,0.0005070967545065495,0.0009484101603986833,3
47,6,0.9997813335846721,,0.0003021479089258504,0.0003021517554335294,2
47,9,0.9993473668317543,,0.000375255813541832,0.000587602460883532,3
48,6,0.9997918865998003,,0.0002911134733135744,0.0002911098564609406,2
48,9,0.999285281036706,,0.0004401305589544635,0.0007290229159243768,3
49,6,0.9998018461557211,,0.00028072593348688816,0.0002807244408965365,2
49,9,0.9993039921563563,,0.00044053261514690465,0.0007316809941233708,3
50,6,0.999802741048051,,0.00028292708339394906,0.00028292552064233773,2
50,9,0.9993011228030046,,0.0004453192362685192,0.0007499300103434765,3
51,6,0.9998010751889208,,0.0002884819570992377,0.0002884796427323503,2
51,9,0.9993020741561809,,0.00044744333095847553,0.000758876256095995,3
52,6,0.9997485296158382,,0.00036858717292862376,0.00036858125294422805,2
52,9,0.9992871764432618,,0.00044714882887560744,0.0007713940832857559,3
53,6,0.9997581677563858,,0.0003581899247924363,0.00035818598058755464,2
53,9,0.9991968225727743,,0.0005049792454859862,0.0008993306852677288,3
54,6,0.9998089930161436,,0.0002856604819337556,0.0002856641499018618,2
54,9,0.9992345651201238,,0.0004693578896930049,0.0008422302229966518,3
55,6,0.9998125749587448,,0.0002830343221164744,0.00028303220957328864,2
55,9,0.9991958106858349,,0.0005179503473907587,0.0009438902692253824,3
56,6,0.9998156641603988,,0.0002810775112268158,0.00028107934919913353,2
56,9,0.9992483715734423,,0.00047264594960121006,0.0008601175364309133,3
57,6,0.9998179889697923,,0.0002800541152265519,0.00028005468651069477,2
57,9,0.9993419135761521,,0.0003679287579625211,0.0006487929177681037,3
58,6,0.9998175509166706,,0.00028313217149096543,0.0002831320752020474,2
58,9,0.9993307601037771,,0.00039024197897173424,0.0006845802275886325,3
